80FFFF,74B1EF,FFACAC,FFFFFF,FFFFFF,FFFFFF
FFFAB7,101010,F4F4F4,FFFFFF,FFFFFF,FFFFFF
377AC8,8BACCD,C8C8C8,FFFFFF,FFFFFF,FFFFFF
E4C0C0,3D4258,9BC8FF,FFFFFF,FFFFFF,FFFFFF
FFC2C2,7A7A7A,00FFFF,FFFFFF,FFFFFF,FFFFFF
0096FF,E9E9E9,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
